path, category, names

maleprepprops/mb1.png, Bodies,
maleprepprops/mb2.png, ,
maleprepprops/mb3.png, ,
maleprepprops/mb4.png, ,
maleprepprops/mb5.png, ,

maleprepprops/mp1.png, Pants,
maleprepprops/mp2.png, ,
maleprepprops/mp3.png, ,
maleprepprops/mp4.png, ,
maleprepprops/mp5.png, ,
maleprepprops/mp6.png, ,
maleprepprops/mp7.png, ,
maleprepprops/mp8.png, ,
maleprepprops/mp9.png, ,
maleprepprops/mp10.png, ,
maleprepprops/mp11.png, ,
maleprepprops/mp12.png, ,
maleprepprops/mp13.png, ,
maleprepprops/mp14.png, ,
maleprepprops/mp15.png, ,
maleprepprops/mp16.png, ,
maleprepprops/mp17.png, ,
maleprepprops/mp18.png, ,
maleprepprops/mp19.png, ,
maleprepprops/mp20.png, ,
maleprepprops/mp21.png, ,
maleprepprops/mp22.png, ,
maleprepprops/mp23.png, ,
maleprepprops/mp24.png, ,
maleprepprops/mp25.png, ,
maleprepprops/mp26.png, ,
maleprepprops/mp27.png, ,
maleprepprops/mp28.png, ,
maleprepprops/mp29.png, ,
maleprepprops/mp30.png, ,
maleprepprops/mp31.png, ,
maleprepprops/mp32.png, ,
maleprepprops/mp33.png, ,
maleprepprops/mp34.png, ,
maleprepprops/mp35.png, ,
maleprepprops/mp36.png, ,
maleprepprops/mp37.png, ,

maleprepprops/mt1.png, Tops,
maleprepprops/mt2.png, ,
maleprepprops/mt3.png, ,
maleprepprops/mt4.png, ,
maleprepprops/mt5.png, ,
maleprepprops/mt6.png, ,
maleprepprops/mt7.png, ,
maleprepprops/mt8.png, ,
maleprepprops/mt9.png, ,
maleprepprops/mt11.png, ,
maleprepprops/mt13.png, ,
maleprepprops/mt14.png, ,
maleprepprops/mt16.png, ,
maleprepprops/mt17.png, ,
maleprepprops/mt18.png, ,
maleprepprops/mt19.png, ,
maleprepprops/mt21.png, ,
maleprepprops/mt23.png, ,
maleprepprops/mt24.png, ,
maleprepprops/mt25.png, ,
maleprepprops/mt26.png, ,
maleprepprops/mt27.png, ,
maleprepprops/mt28.png, ,
maleprepprops/mt29.png, ,
maleprepprops/mt30.png, ,
maleprepprops/mt32.png, ,
maleprepprops/mt33.png, ,
maleprepprops/mt34.png, ,
maleprepprops/mt35.png, ,
maleprepprops/mt36.png, ,
maleprepprops/mt37.png, ,
maleprepprops/mt39.png, ,
maleprepprops/mt40.png, ,
maleprepprops/mt41.png, ,
maleprepprops/mt46.png, ,
maleprepprops/mt48.png, ,
maleprepprops/mt49.png, ,
maleprepprops/mt50.png, ,
maleprepprops/mt51.png, ,
maleprepprops/mt52.png, ,
maleprepprops/mt53.png, ,
maleprepprops/mt54.png, ,
maleprepprops/mt55.png, ,
maleprepprops/mt56.png, ,
maleprepprops/mt57.png, ,
maleprepprops/mt58.png, ,
maleprepprops/mt59.png, ,
maleprepprops/mt60.png, ,
maleprepprops/mt61.png, ,
maleprepprops/mt31.png, ,
maleprepprops/mt47.png, ,
maleprepprops/mt15.png, ,
maleprepprops/mt12.png, ,
maleprepprops/mt10.png, ,
maleprepprops/mt20.png, ,
maleprepprops/mt22.png, ,
maleprepprops/mt38.png, ,
maleprepprops/mt43.png, ,
maleprepprops/mt44.png, ,
maleprepprops/mt45.png, ,
maleprepprops/mt42.png, ,

maleprepprops/mh1.png, Heads,
maleprepprops/mh2.png, ,
maleprepprops/mh4.png, ,
maleprepprops/mh5.png, ,
maleprepprops/mh6.png, ,
maleprepprops/mh7.png, ,
maleprepprops/mh8.png, ,
maleprepprops/mh9.png, ,
maleprepprops/mh10.png, ,
maleprepprops/mh11.png, ,
maleprepprops/mh12.png, ,
maleprepprops/mh13.png, ,
maleprepprops/mh14.png, ,
maleprepprops/mh15.png, ,
maleprepprops/mh16.png, ,
maleprepprops/mh17.png, ,
maleprepprops/mh18.png, ,
maleprepprops/mh19.png, ,
maleprepprops/mh20.png, ,
maleprepprops/mh21.png, ,
maleprepprops/mh22.png, ,
maleprepprops/mh23.png, ,
maleprepprops/mh25.png, ,
maleprepprops/mh24.png, ,
maleprepprops/mh27.png, ,
maleprepprops/mh28.png, ,
maleprepprops/mh29.png, ,
maleprepprops/mh30.png, ,
maleprepprops/mh31.png, ,
maleprepprops/mh32.png, ,
maleprepprops/mh33.png, ,
maleprepprops/mh34.png, ,
maleprepprops/mh35.png, ,
maleprepprops/mh36.png, ,
maleprepprops/mh37.png, ,
maleprepprops/mh38.png, ,
maleprepprops/mh39.png, ,
maleprepprops/mh40.png, ,
maleprepprops/mh41.png, ,
maleprepprops/mh42.png, ,
maleprepprops/mh43.png, ,
maleprepprops/mh44.png, ,
maleprepprops/mh45.png, ,
maleprepprops/mh46.png, ,
